Number_of_Bulges,Number_of_Loops,Number_of_Junctions,Number_of_Helices,Number_of_Bonds,Abstract shape Lev5,Shape counts,Total Shapes,Shannons Entropy H,2^H
1,1,0,9,27,"['[][]' '[][][]' '[][]' '[[][][]]' '[[][]][]' '[[][]]' '[][][]' '[[][][]]'
 '[][]' '[][][]' '[][]' '[[][][]]' '[][]' '[[][]]' '[][]' '[][][]' '[][]'
 '[[][][]]' '[][][]']"," '[][]': 7, '[][][]': 5, '[[][][]]': 4, '[[][]]': 2, '[[][]][]': 1 ",19,2.076289359,4.217211448
0,3,0,8,26,"['[[][][]][]' '[][][]' '[][]' '[][]' '[]' '[[][][]]' '[][]' '[][][]'
 '[][]' '[][]' '[][][]' '[][]' '[]' '[[][]]' '[]' '[][[][]]' '[][][]' '[]'
 '[][]']"," '[][]': 7, '[][][]': 4, '[]': 4, '[[][][]][]': 1, '[[][][]]': 1, '[[][]]': 1, '[][[][]]': 1 ",19,2.371533595,5.174909364
3,2,0,9,28,"['[][[][]]' '[]' '[][][]' '[[][][]]' '[][]' '[][][]' '[[][]][]' '[][][]'
 '[[][]]' '[]' '[][][]' '[][]' '[][]' '[[][]]' '[][]' '[][]' '[][]'
 '[][[][]]' '[[][][][][]]']"," '[][]': 6, '[][][]': 4, '[][[][]]': 2, '[]': 2, '[[][]]': 2, '[[][][]]': 1, '[[][]][]': 1, '[[][][][][]]': 1 ",19,2.694781461,6.474556892
1,3,0,6,22,"['[[][][]]' '[[][]][]' '[[][]]' '[][][]' '[][][]' '[[][][]]' '[][[][]]'
 '[][]' '[][]' '[][]' '[[][]]' '[]' '[]' '[][]' '[][]' '[[][]]' '[][]'
 '[][][]' '[[][][]][]']"," '[][]': 6, '[[][]]': 3, '[][][]': 3, '[[][][]]': 2, '[]': 2, '[[][]][]': 1, '[][[][]]': 1, '[[][][]][]': 1 ",19,2.720582776,6.59139019
0,1,0,5,25,"['[][]' '[[][]]' '[]' '[[][][]]' '[][]' '[][]' '[][][]' '[[][]]' '[]'
 '[][][]' '[][][]' '[][]' '[]' '[][]' '[][]' '[][][][]' '[][][]' '[][]'
 '[[][]]']"," '[][]': 7, '[][][]': 4, '[[][]]': 3, '[]': 3, '[[][][]]': 1, '[][][][]': 1 ",19,2.292071752,4.897589145
0,2,0,6,31,"['[][][]' '[][]' '[][]' '[][[][]]' '[]' '[][]' '[][]' '[[][][]][]' '[][]'
 '[]' '[][[][]]' '[][]' '[]' '[[][]][]' '[[][]]' '[]' '[[][][]]' '[][][]'
 '[[][][]]']"," '[][]': 6, '[]': 4, '[][][]': 2, '[][[][]]': 2, '[[][][]]': 2, '[[][][]][]': 1, '[[][]][]': 1, '[[][]]': 1 ",19,2.694781461,6.474556892
0,1,0,5,23,"['[][][]' '[][[][]]' '[]' '[]' '[[][]]' '[][][]' '[[][]][]' '[][]' '[][]'
 '[][]' '[][[][]]' '[[][][]]' '[[][]][]' '[][]' '[][]' '[]' '[][]' '[]'
 '[[][]]']"," '[][]': 6, '[]': 4, '[][][]': 2, '[][[][]]': 2, '[[][]]': 2, '[[][]][]': 2, '[[][][]]': 1 ",19,2.589518303,6.018976995
0,1,0,6,29,"['[][]' '[[][][]]' '[][][]' '[[][][]]' '[][]' '[]' '[][]' '[[][][]]' '[]'
 '[][]' '[][][][]' '[][]' '[][][]' '[[][]]' '[][]' '[[][][]]' '[]' '[]'
 '[]']"," '[][]': 6, '[]': 5, '[[][][]]': 4, '[][][]': 2, '[][][][]': 1, '[[][]]': 1 ",19,2.294274067,4.905071163
0,2,0,8,32,"['[][]' '[][][][][]' '[]' '[[][]][]' '[]' '[][][]' '[]' '[[][]][]'
 '[][][]' '[]' '[[][]]' '[][][]' '[[][]][]' '[][][][]' '[][]' '[]'
 '[][][]' '[][][]' '[][]']"," '[]': 5, '[][][]': 5, '[][]': 3, '[[][]][]': 3, '[][][][][]': 1, '[[][]]': 1, '[][][][]': 1 ",19,2.525345621,5.757113365
0,3,0,6,21,"['[][][]' '[][][][]' '[[][]][]' '[][][]' '[][]' '[]' '[][]' '[[][]]'
 '[][]' '[][[][]]' '[][]' '[][]' '[[][]]' '[]' '[[][][]]' '[][][]' '[][]'
 '[[][][]]' '[][][]']"," '[][]': 6, '[][][]': 4, '[]': 2, '[[][]]': 2, '[[][][]]': 2, '[][][][]': 1, '[[][]][]': 1, '[][[][]]': 1 ",19,2.694781461,6.474556892
0,2,1,7,32,"['[[][][]]' '[][]' '[[][]]' '[[][]][]' '[][][]' '[][]' '[[][]]' '[[][]]'
 '[][]' '[][]' '[[][]][]' '[][][]' '[[][]]' '[[][]]' '[[][][]]' '[][]'
 '[][]' '[[][][]]' '[[][]]']"," '[][]': 6, '[[][]]': 6, '[[][][]]': 3, '[[][]][]': 2, '[][][]': 2 ",19,2.154536066,4.452254509
3,2,0,10,31,"['[][]' '[][][]' '[[][][]][]' '[][][]' '[[][]]' '[][][]' '[][[][]]' '[][]'
 '[]' '[[][]][]' '[][][]' '[][]' '[[][]]' '[][[][]][]' '[[][]]' '[[][]]'
 '[]' '[][]' '[][]']"," '[][]': 5, '[][][]': 4, '[[][]]': 4, '[]': 2, '[[][][]][]': 1, '[][[][]]': 1, '[[][]][]': 1, '[][[][]][]': 1 ",19,2.689525383,6.451011475
3,1,0,8,29,"['[]' '[][]' '[][]' '[[][]]' '[[][]]' '[[][]]' '[][[][][]]' '[][]' '[][]'
 '[][][]' '[][]' '[][]' '[[][][]]' '[[][][]]' '[][][]' '[][]' '[][]'
 '[[][]][]']"," '[][]': 8, '[[][]]': 3, '[][][]': 2, '[[][][]]': 2, '[]': 1, '[][[][][]]': 1, '[[][]][]': 1 ",18,2.350209029,5.098981237
2,2,1,8,25,"['[][]' '[][]' '[][]' '[][][]' '[][[][]]' '[][][][]' '[][]' '[]' '[][]'
 '[]' '[][]' '[][][]' '[][][]' '[[][][]]' '[][[][]]' '[][[][]]' '[][][]'
 '[[][]]']"," '[][]': 6, '[][][]': 4, '[][[][]]': 3, '[]': 2, '[][][][]': 1, '[[][][]]': 1, '[[][]]': 1 ",18,2.488554862,5.612155029
2,3,1,9,32,"['[[][][]]' '[[][][]]' '[[][]]' '[[][][]]' '[[][]]' '[][][]' '[][]' '[][]'
 '[[][]]' '[][][]' '[[][][]]' '[][][]' '[][]' '[[][]]' '[]' '[][]'
 '[][][]' '[[][][]]']"," '[[][][]]': 5, '[[][]]': 4, '[][][]': 4, '[][]': 4, '[]': 1 ",18,2.191611642,4.568155123
2,2,0,10,29,"['[[][]][]' '[]' '[][][]' '[]' '[][][[][]]' '[][]' '[][][]' '[]' '[]'
 '[][[][]]' '[][]' '[][]' '[[][[][]]]' '[][][]' '[[][]]' '[]' '[[][]]'
 '[][]']"," '[]': 5, '[][]': 4, '[][][]': 3, '[[][]]': 2, '[[][]][]': 1, '[][][[][]]': 1, '[][[][]]': 1, '[[][[][]]]': 1 ",18,2.705229003,6.52161377
0,3,1,7,32,"['[]' '[][][]' '[][]' '[[][]][]' '[[][]]' '[]' '[][][]' '[][]' '[][][]'
 '[][][]' '[]' '[][][]' '[][]' '[[][][]]' '[][]' '[[][][][]]' '[][]' '[]']"," '[][][]': 5, '[][]': 5, '[]': 4, '[[][]][]': 1, '[[][]]': 1, '[[][][]]': 1, '[[][][][]]': 1 ",18,2.435520504,5.409594687
3,1,0,8,28,"['[][][]' '[][]' '[]' '[[][]][]' '[[][]]' '[][]' '[][][][]' '[][]' '[]'
 '[[][]]' '[]' '[][]' '[][]' '[][]' '[[][]]' '[[][]]' '[][]' '[][]']"," '[][]': 8, '[[][]]': 4, '[]': 3, '[][][]': 1, '[[][]][]': 1, '[][][][]': 1 ",18,2.127986807,4.371070984
3,2,0,8,25,"['[]' '[][]' '[[][]]' '[[][]][]' '[]' '[][]' '[][]' '[[][][][]]'
 '[[][][]]' '[][]' '[[][]]' '[][]' '[][]' '[]' '[][]' '[][]' '[]' '[]']"," '[][]': 8, '[]': 5, '[[][]]': 2, '[[][]][]': 1, '[[][][][]]': 1, '[[][][]]': 1 ",18,2.080500531,4.22953931
0,3,0,8,30,"['[][]' '[][]' '[][]' '[][][]' '[][]' '[][]' '[[][]]' '[][]' '[][]' '[][]'
 '[][][][]' '[][][]' '[[][]]' '[][]' '[]' '[[][][]]' '[][][]' '[][][]']"," '[][]': 9, '[][][]': 4, '[[][]]': 2, '[][][][]': 1, '[]': 1, '[[][][]]': 1 ",18,2.029406945,4.082370001
0,2,1,5,27,"['[][[][][]]' '[][][]' '[]' '[][]' '[[][]][]' '[]' '[[][]]' '[][][]'
 '[][]' '[][[][]]' '[][[][]]' '[][]' '[[][]][]' '[][][][]' '[][]' '[]'
 '[[][]]' '[[][][]]']"," '[][]': 4, '[]': 3, '[][][]': 2, '[[][]][]': 2, '[[][]]': 2, '[][[][]]': 2, '[][[][][]]': 1, '[][][][]': 1, '[[][][]]': 1 ",18,3.016875696,8.094128179
1,2,0,5,27,"['[[][[][]]]' '[[][][]]' '[][]' '[][][]' '[]' '[]' '[[][]]' '[[][][]]'
 '[]' '[][]' '[[][][]]' '[][][]' '[]' '[][]' '[[][][]]' '[][]' '[][[][]]'
 '[[][]]']"," '[[][][]]': 4, '[][]': 4, '[]': 4, '[][][]': 2, '[[][]]': 2, '[[][[][]]]': 1, '[][[][]]': 1 ",18,2.614369446,6.123555001
0,1,0,8,26,"['[[][]]' '[][][]' '[][][]' '[][][]' '[[][][]]' '[][][][]' '[][][]' '[][]'
 '[][]' '[][]' '[][]' '[[][]]' '[]' '[[][]][]' '[][][]' '[][[][]][]'
 '[[][]]' '[][][]']"," '[][][]': 6, '[][]': 4, '[[][]]': 3, '[[][][]]': 1, '[][][][]': 1, '[]': 1, '[[][]][]': 1, '[][[][]][]': 1 ",18,2.599665973,6.061462695
1,4,1,8,28,"['[[][][][]]' '[]' '[][][]' '[]' '[[][]]' '[][][]' '[]' '[[][]]' '[][]'
 '[][]' '[][]' '[]' '[[][]][][]' '[][][]' '[][][]' '[][[][]]' '[][]'
 '[][][]']"," '[][][]': 5, '[]': 4, '[][]': 4, '[[][]]': 2, '[[][][][]]': 1, '[[][]][][]': 1, '[][[][]]': 1 ",18,2.524944975,5.755514798
0,4,0,6,27,"['[[][]]' '[[][]]' '[][]' '[][][]' '[][]' '[[][]]' '[][]' '[][][]'
 '[][][]' '[][]' '[[][]]' '[][[][]]' '[[][]]' '[[][]]' '[[][]]' '[[][]]'
 '[][]' '[[][]]']"," '[[][]]': 9, '[][]': 5, '[][][]': 3, '[][[][]]': 1 ",18,1.675822058,3.195013568
1,2,1,5,27,"['[][][]' '[][][][]' '[[][][]]' '[[][]]' '[[][[][]]]' '[][]' '[[][]][]'
 '[][]' '[[][]]' '[][]' '[]' '[]' '[][][]' '[][]' '[][]' '[][][]' '[]'
 '[][]']"," '[][]': 6, '[][][]': 3, '[]': 3, '[[][]]': 2, '[][][][]': 1, '[[][][]]': 1, '[[][[][]]]': 1, '[[][]][]': 1 ",18,2.66883889,6.35917182
0,2,1,7,24,"['[[][]][]' '[][]' '[][]' '[][]' '[[][]][]' '[][]' '[[][]][]' '[][][]'
 '[[][]]' '[][]' '[[][]][]' '[][][]' '[][[][]]' '[][]' '[]' '[][]' '[][]'
 '[][[][]]']"," '[][]': 8, '[[][]][]': 4, '[][][]': 2, '[][[][]]': 2, '[[][]]': 1, '[]': 1 ",18,2.169925001,4.5
1,2,1,5,24,"['[[][]]' '[][][]' '[][]' '[]' '[][]' '[][]' '[[][]]' '[][][]' '[]' '[][]'
 '[][]' '[[][][]]' '[[][]]' '[][][][]' '[][]' '[[][][]]' '[][]' '[]']"," '[][]': 7, '[[][]]': 3, '[]': 3, '[][][]': 2, '[[][][]]': 2, '[][][][]': 1 ",18,2.327632809,5.019810174
3,3,0,8,30,"['[][]' '[[][]]' '[][][]' '[[][]]' '[]' '[[][][]]' '[][[][]]' '[[][]]'
 '[][]' '[][]' '[][]' '[[][][]]' '[][[][]]' '[[][][]]' '[[][]]' '[][]'
 '[][]' '[][][][]']"," '[][]': 6, '[[][]]': 4, '[[][][]]': 3, '[][[][]]': 2, '[][][]': 1, '[]': 1, '[][][][]': 1 ",18,2.488554862,5.612155029
2,3,0,7,23,"['[][]' '[][]' '[][]' '[][]' '[[][]]' '[][]' '[][]' '[][]' '[][]' '[]'
 '[]' '[][][]' '[][][]' '[][]' '[[][][]]' '[][]' '[[][][]]' '[[][]]']"," '[][]': 10, '[[][]]': 2, '[]': 2, '[][][]': 2, '[[][][]]': 2 ",18,1.879964949,3.680661177
0,2,0,7,32,"['[][]' '[]' '[][][][]' '[][][]' '[][]' '[][][]' '[[][]]' '[][][]' '[][]'
 '[[][]][]' '[[][]]' '[[][]]' '[][][]' '[[][][][]]' '[][]' '[[][]]' '[]'
 '[][]']"," '[][]': 5, '[][][]': 4, '[[][]]': 4, '[]': 2, '[][][][]': 1, '[[][]][]': 1, '[[][][][]]': 1 ",18,2.524944975,5.755514798
0,2,0,7,22,"['[]' '[][]' '[][]' '[[][]]' '[][]' '[][]' '[][][][]' '[][]' '[[][][]]'
 '[[][][]]' '[[][][]]' '[]' '[][][][]' '[][]' '[[][]][][]' '[[][]][]'
 '[][]' '[[][]]']"," '[][]': 7, '[[][][]]': 3, '[]': 2, '[[][]]': 2, '[][][][]': 2, '[[][]][][]': 1, '[[][]][]': 1 ",18,2.480682115,5.581613062
0,3,1,5,27,"['[][][]' '[[][]]' '[][[][]]' '[[][][]]' '[[][]]' '[][]' '[][][]' '[][]'
 '[[][]]' '[][]' '[][][]' '[][]' '[][][]' '[][[][]]' '[[][][][]]' '[[][]]'
 '[][]' '[][]']"," '[][]': 6, '[][][]': 4, '[[][]]': 4, '[][[][]]': 2, '[[][][]]': 1, '[[][][][]]': 1 ",18,2.308270835,4.952890873
2,2,1,7,32,"['[][]' '[][][]' '[][][]' '[][]' '[[][]][]' '[]' '[][]' '[[[][]][]]'
 '[][][][]' '[[][]]' '[][]' '[]' '[][]' '[[][]]' '[][]' '[][]'
 '[][][[][]]' '[][]']"," '[][]': 8, '[][][]': 2, '[]': 2, '[[][]]': 2, '[[][]][]': 1, '[[[][]][]]': 1, '[][][][]': 1, '[][][[][]]': 1 ",18,2.503258335,5.669644725
3,1,0,9,31,"['[[][]]' '[]' '[][][]' '[][][]' '[[][][]][]' '[][]' '[]' '[[][]]'
 '[][[][][]]' '[]' '[][][]' '[][]' '[][]' '[[][]]' '[]' '[][][]' '[]' '[]']"," '[]': 6, '[][][]': 4, '[[][]]': 3, '[][]': 3, '[[][][]][]': 1, '[][[][][]]': 1 ",18,2.335505557,5.047278018
1,3,1,9,29,"['[][]' '[][][]' '[][[][]]' '[][]' '[]' '[[][][]]' '[][]' '[][]' '[[][]]'
 '[][]' '[]' '[][]' '[][]' '[][]' '[]' '[[][]]' '[][]' '[][]']"," '[][]': 10, '[]': 3, '[[][]]': 2, '[][][]': 1, '[][[][]]': 1, '[[][][]]': 1 ",18,1.949137865,3.861437084
0,2,0,9,29,"['[]' '[][]' '[[][][]][]' '[][][]' '[[][][]]' '[][][]' '[][]' '[[][]]'
 '[[][][]]' '[[][]]' '[][][]' '[]' '[][]' '[][]' '[]' '[][]' '[[][][]]'
 '[[][][]]']"," '[][]': 5, '[[][][]]': 4, '[]': 3, '[][][]': 3, '[[][]]': 2, '[[][][]][]': 1 ",18,2.441068586,5.430438077
2,2,0,10,28,"['[[][]]' '[[][][]]' '[[][][]]' '[[][]]' '[][[][]]' '[][]' '[[][][]]'
 '[[][][]]' '[][][]' '[[][]]' '[[][]]' '[][]' '[[][][][]][]' '[][]'
 '[[][]]' '[][]' '[]']"," '[[][]]': 5, '[[][][]]': 4, '[][]': 4, '[][[][]]': 1, '[][][]': 1, '[[][][][]][]': 1, '[]': 1 ",17,2.463366343,5.51502086
0,1,0,5,28,"['[][]' '[[][]]' '[][][]' '[]' '[][][][]' '[]' '[[][][][]]' '[][]' '[]'
 '[][]' '[][][]' '[[][][]]' '[][]' '[]' '[[][]][]' '[[][]]' '[][]']"," '[][]': 5, '[]': 4, '[[][]]': 2, '[][][]': 2, '[][][][]': 1, '[[][][][]]': 1, '[[][][]]': 1, '[[][]][]': 1 ",17,2.69866046,6.491988573
0,1,0,8,30,"['[[][][]]' '[][][]' '[][]' '[[][][]][]' '[]' '[][][]' '[][]' '[[][][]][]'
 '[[][]][][]' '[][]' '[][]' '[]' '[]' '[]' '[][]' '[]' '[]']"," '[]': 6, '[][]': 5, '[][][]': 2, '[[][][]][]': 2, '[[][][]]': 1, '[[][]][][]': 1 ",17,2.25690899,4.779663291
2,3,0,6,26,"['[][][]' '[][][]' '[][][]' '[][]' '[][][]' '[][][]' '[][]' '[]' '[][][]'
 '[[][]]' '[[][][][]]' '[][][]' '[][]' '[][][]' '[[][]][]' '[][]' '[][][]']"," '[][][]': 9, '[][]': 4, '[]': 1, '[[][]]': 1, '[[][][][]]': 1, '[[][]][]': 1 ",17,1.938679017,3.833544739
0,4,1,7,25,"['[[][]]' '[][][]' '[]' '[[][]]' '[[][][]][]' '[][]' '[][][]' '[[][]]'
 '[][][]' '[][]' '[][]' '[][]' '[][]' '[[][]]' '[][][][]' '[][]' '[]']"," '[][]': 6, '[[][]]': 4, '[][][]': 3, '[]': 2, '[[][][]][]': 1, '[][][][]': 1 ",17,2.307188576,4.949176784
0,2,1,8,27,"['[[][][]]' '[[][]]' '[][]' '[[][][]]' '[[][]]' '[]' '[[][]]' '[[][][]]'
 '[]' '[][]' '[][][]' '[][][][]' '[[][][]]' '[][[][]]' '[[][]]' '[[][]]'
 '[[][]]']"," '[[][]]': 6, '[[][][]]': 4, '[][]': 2, '[]': 2, '[][][]': 1, '[][][][]': 1, '[][[][]]': 1 ",17,2.469240782,5.537522986
1,3,1,5,24,"['[][[][]]' '[[][]]' '[]' '[][]' '[[][]]' '[][][]' '[][][]' '[[][]][]'
 '[][][]' '[][][]' '[[][][][]]' '[[][]]' '[][]' '[][][]' '[][]' '[][]'
 '[][][]']"," '[][][]': 6, '[][]': 4, '[[][]]': 3, '[][[][]]': 1, '[]': 1, '[[][]][]': 1, '[[][][][]]': 1 ",17,2.424835635,5.369678213
0,3,1,8,31,"['[[][][][]]' '[[][][]][][]' '[][]' '[][[][][]]' '[][][]' '[][][]'
 '[][][]' '[[][]]' '[][]' '[][][]' '[[][]][]' '[[][]]' '[][]' '[][][]'
 '[][]' '[[][][]]' '[][][]']"," '[][][]': 6, '[][]': 4, '[[][]]': 2, '[[][][][]]': 1, '[[][][]][][]': 1, '[][[][][]]': 1, '[[][]][]': 1, '[[][][]]': 1 ",17,2.586887841,6.008012611
0,1,0,6,21,"['[]' '[][]' '[][]' '[][][]' '[][[][]]' '[]' '[[][][]]' '[]' '[[][][]][]'
 '[][]' '[[][]][]' '[][]' '[][][]' '[]' '[]' '[]' '[][]']"," '[]': 6, '[][]': 5, '[][][]': 2, '[][[][]]': 1, '[[][][]]': 1, '[[][][]][]': 1, '[[][]][]': 1 ",17,2.374556048,5.185762191
2,3,0,7,24,"['[[][]]' '[][[][]]' '[][]' '[][]' '[][[][][]][]' '[[][]]' '[][]'
 '[][[][]]' '[[][]][]' '[]' '[][]' '[][]' '[[][]]' '[][][]' '[][]'
 '[][[][][]]' '[][]']"," '[][]': 7, '[[][]]': 3, '[][[][]]': 2, '[][[][][]][]': 1, '[[][]][]': 1, '[]': 1, '[][][]': 1, '[][[][][]]': 1 ",17,2.534146844,5.792342229
0,2,0,8,24,"['[][]' '[[][]][]' '[]' '[][]' '[][]' '[][[][]]' '[][]' '[][][]' '[]'
 '[][][]' '[][]' '[[][]]' '[][]' '[][]' '[[][]]' '[]' '[[][]]']"," '[][]': 7, '[]': 3, '[[][]]': 3, '[][][]': 2, '[[][]][]': 1, '[][[][]]': 1 ",17,2.254447579,4.771515566
3,2,1,9,30,"['[][]' '[]' '[][]' '[][]' '[[][]][]' '[][[][]]' '[[][]]' '[[][]][]'
 '[][]' '[[][]]' '[[][]]' '[][]' '[][]' '[][][]' '[]' '[][][]' '[[][]]']"," '[][]': 6, '[[][]]': 4, '[]': 2, '[[][]][]': 2, '[][][]': 2, '[][[][]]': 1 ",17,2.351593723,5.103877572
1,3,0,8,33,"['[][]' '[][]' '[][]' '[][][]' '[][]' '[][]' '[[][][]]' '[[][][]]'
 '[][][]' '[][]' '[[][]]' '[][]' '[][][]' '[[][]]' '[][][]' '[][][]'
 '[][][]']"," '[][]': 7, '[][][]': 6, '[[][][]]': 2, '[[][]]': 2 ",17,1.783859344,3.443461015
0,2,1,6,21,"['[]' '[][][][]' '[][]' '[[][][][]]' '[][][]' '[]' '[][]' '[]' '[][][]'
 '[]' '[[][][]]' '[][]' '[][][]' '[][[][]]' '[]' '[][]' '[][][]']"," '[]': 5, '[][]': 4, '[][][]': 4, '[][][][]': 1, '[[][][][]]': 1, '[[][][]]': 1, '[][[][]]': 1 ",17,2.463366343,5.51502086
0,2,0,7,21,"['[][]' '[[][]]' '[][][]' '[][]' '[][]' '[][][]' '[]' '[][][]' '[]'
 '[[][]]' '[[][][]]' '[][]' '[][[][][]]' '[[][]][]' '[[][]]' '[[][]][]'
 '[][]']"," '[][]': 5, '[[][]]': 3, '[][][]': 3, '[]': 2, '[[][]][]': 2, '[[][][]]': 1, '[][[][][]]': 1 ",17,2.609850166,6.104402818
1,2,1,9,30,"['[]' '[][][]' '[][[][]]' '[][][][]' '[][][]' '[][][]' '[[][]]' '[][]'
 '[[][][]]' '[]' '[][]' '[]' '[[][]][]' '[[][]]' '[[][][]]' '[][]'
 '[[][]]']"," '[]': 3, '[][][]': 3, '[[][]]': 3, '[][]': 3, '[[][][]]': 2, '[][[][]]': 1, '[][][][]': 1, '[[][]][]': 1 ",17,2.851018723,7.215096663
0,2,1,8,31,"['[][]' '[][][]' '[[][]]' '[]' '[]' '[][][]' '[][]' '[[][]]' '[][]' '[][]'
 '[]' '[]' '[]' '[]' '[]' '[][][]' '[][][][]']"," '[]': 7, '[][]': 4, '[][][]': 3, '[[][]]': 2, '[][][][]': 1 ",17,2.063558609,4.180161288
3,2,0,10,33,"['[][]' '[][]' '[][][]' '[][]' '[][][]' '[[][][]]' '[[][][]]' '[][][]'
 '[]' '[][]' '[][]' '[][][]' '[][]' '[][][]' '[][]' '[[][[][]]]'
 '[[][][]]']"," '[][]': 7, '[][][]': 5, '[[][][]]': 3, '[]': 1, '[[][[][]]]': 1 ",17,1.968873875,3.914624357
1,3,1,9,28,"['[][]' '[][][]' '[]' '[[][]]' '[][][][]' '[][]' '[][][][]' '[][][]'
 '[][]' '[][[][]]' '[]' '[[][]]' '[][][]' '[][[][]]' '[][]' '[][[][]]'
 '[]']"," '[][]': 4, '[][][]': 3, '[]': 3, '[][[][]]': 3, '[[][]]': 2, '[][][][]': 2 ",17,2.542482694,5.825907089
2,2,1,6,25,"['[[][]]' '[]' '[[][][]]' '[][]' '[]' '[]' '[]' '[][]' '[[][]]' '[][]'
 '[[][]]' '[]' '[[][]]' '[[][]]' '[[][]]' '[][]' '[]']"," '[[][]]': 6, '[]': 6, '[][]': 4, '[[][][]]': 1 ",17,1.792195194,3.463414823
2,3,1,7,25,"['[[][]]' '[][]' '[[][][]]' '[[][]]' '[][[][]]' '[]' '[][][]' '[][][]'
 '[[][]]' '[][][]' '[][]' '[[][]][]' '[]' '[[][]]' '[][]' '[[][][]]'
 '[][][]']"," '[[][]]': 4, '[][][]': 4, '[][]': 3, '[[][][]]': 2, '[]': 2, '[][[][]]': 1, '[[][]][]': 1 ",17,2.631292988,6.195810365
2,2,0,10,32,"['[][][]' '[][]' '[[][][]]' '[[][]]' '[][]' '[[][]][]' '[[][]]' '[[][][]]'
 '[]' '[][]' '[][][]' '[][][]' '[][]' '[[][]]' '[][]' '[][]' '[[][]][]']"," '[][]': 6, '[][][]': 3, '[[][]]': 3, '[[][][]]': 2, '[[][]][]': 2, '[]': 1 ",17,2.380430488,5.20692089
0,1,0,5,20,"['[][][]' '[][[][]]' '[][]' '[][[][]]' '[][]' '[]' '[[][]]' '[]' '[]'
 '[][]' '[[][][]]' '[[][]]' '[[][]][]' '[][]' '[][][]' '[][][][]' '[[][]]']"," '[][]': 4, '[]': 3, '[[][]]': 3, '[][][]': 2, '[][[][]]': 2, '[[][][]]': 1, '[[][]][]': 1, '[][][][]': 1 ",17,2.822181959,7.072312181
2,2,1,6,26,"['[[][][]]' '[]' '[]' '[]' '[][]' '[]' '[][]' '[[][]]' '[[][]][]' '[][][]'
 '[[][]]' '[][[][][]]' '[][][]' '[][][]' '[][][][]' '[][]' '[][][]']"," '[]': 4, '[][][]': 4, '[][]': 3, '[[][]]': 2, '[[][][]]': 1, '[[][]][]': 1, '[][[][][]]': 1, '[][][][]': 1 ",17,2.748940047,6.722230661
1,2,1,9,27,"['[][]' '[]' '[][]' '[][][]' '[]' '[][]' '[][]' '[][]' '[][][]' '[][][]'
 '[][]' '[[][][]]' '[]' '[[][]]' '[][]' '[[][]][]' '[][][]']"," '[][]': 7, '[][][]': 4, '[]': 3, '[[][][]]': 1, '[[][]]': 1, '[[][]][]': 1 ",17,2.181205667,4.535324151
0,2,0,4,20,"['[][[][]]' '[][][]' '[][]' '[][][]' '[][]' '[][][]' '[][]' '[][][]'
 '[][]' '[][][]' '[][]' '[][[][]]' '[][]' '[[][]]' '[[][]]' '[]'
 '[][[][]]']"," '[][]': 6, '[][][]': 5, '[][[][]]': 3, '[[][]]': 2, '[]': 1 ",17,2.094856784,4.271837545
2,1,0,7,23,"['[][][]' '[[][][]]' '[][]' '[[[][]][]]' '[[][]]' '[][]' '[][][]' '[][][]'
 '[[][]]' '[][[][][]]' '[]' '[]' '[][]' '[[][]]' '[[][]]' '[]' '[]']"," '[[][]]': 4, '[]': 4, '[][][]': 3, '[][]': 3, '[[][][]]': 1, '[[[][]][]]': 1, '[][[][][]]': 1 ",17,2.586887841,6.008012611
2,2,1,9,28,"['[][]' '[][]' '[][]' '[][]' '[][]' '[][]' '[][[][]]' '[]' '[][]'
 '[][[][]]' '[][]' '[][][]' '[][]' '[[][]]' '[][][]' '[][[][]][]']"," '[][]': 9, '[][[][]]': 2, '[][][]': 2, '[]': 1, '[[][]]': 1, '[][[][]][]': 1 ",16,1.966917187,3.909318657
1,3,0,5,25,"['[][]' '[][]' '[][][][]' '[[][]]' '[][]' '[][]' '[[][][][]]' '[][]'
 '[][][]' '[][][]' '[][][]' '[][][]' '[]' '[][][]' '[[][]][]' '[[][]][]']"," '[][]': 5, '[][][]': 5, '[[][]][]': 2, '[][][][]': 1, '[[][]]': 1, '[[][][][]]': 1, '[]': 1 ",16,2.423794941,5.36580617
1,3,0,6,21,"['[][][]' '[][]' '[[][]]' '[][]' '[[][]]' '[][]' '[][][][]' '[][][]'
 '[[][]]' '[][[][]]' '[][][]' '[[][]][]' '[][]' '[][]' '[][]' '[[][]]']"," '[][]': 6, '[[][]]': 4, '[][][]': 3, '[][][][]': 1, '[][[][]]': 1, '[[][]][]': 1 ",16,2.233458593,4.702599904
2,2,0,8,34,"['[[][]]' '[[][][]]' '[][]' '[]' '[][][]' '[[][]]' '[[][][][]]' '[[][]][]'
 '[][][]' '[[][[][]]]' '[][]' '[][[][]]' '[][][]' '[[][][][]]' '[][]'
 '[][]']"," '[][]': 4, '[][][]': 3, '[[][]]': 2, '[[][][][]]': 2, '[[][][]]': 1, '[]': 1, '[[][]][]': 1, '[[][[][]]]': 1, '[][[][]]': 1 ",16,2.952819531,7.74260762
